Experience,UG,Location,PG,Salary,Department,Role Category
4 - 5 years,B.Tech/B.E. in Any Specialization,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,B.Tech/B.E. in Any Specialization,Ahmedabad,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 4 years,Any Graduate,Nagar,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Nagar,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 4 years,Any Graduate,Nagar,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
12 - 14 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
12 - 14 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
9 - 12 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 11 years,Any Graduate,Madurai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 8 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 12 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 12 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 7 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Coimbatore,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 5 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 12 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 12 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 8 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 9 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 11 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
12 - 15 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 12 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Coimbatore,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 7 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
10 - 13 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
9 - 12 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 9 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 9 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 9 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 12 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
9 - 11 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 13 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 9 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 15 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
11 - 15 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 15 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 9 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 9 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
15 - 18 years,Any Graduate,Coimbatore,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 9 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 10 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
12 - 16 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 15 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 8 years,Any Graduate,Coimbatore,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 14 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
10 - 12 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 6 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 13 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
9 - 19 years,Any Graduate,Coimbatore,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 9 years,Any Graduate,Coimbatore,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
14 - 18 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 5 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Coimbatore,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 14 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 7 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 3 years,Any Graduate,Kochi,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 9 years,Any Graduate,Kochi,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 8 years,Any Graduate,Kochi,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
10 - 15 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
9 - 13 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 12 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
10 - 15 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
10 - 19 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Chennai, Coimbatore",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 11 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 8 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 9 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 6 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 11 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 5 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 6 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 6 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
12 - 14 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
12 - 14 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 6 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 12 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 5 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 7 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 8 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 13 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 5 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 11 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 8 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 13 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 5 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 11 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 8 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 12 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 9 years,Any Graduate,Jaipur,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 12 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 4 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 12 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 8 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 9 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 10 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 12 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 9 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 10 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
12 - 14 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 12 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 10 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 12 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 10 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 10 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 6 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
9 - 12 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
12 - 14 years,Any Graduate,Noida,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 9 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 12 years,Any Graduate,Gurugram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,Thiruvananthapuram,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Yavatmal,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Karnal,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Nagarkurnool,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Banswara,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 3 years,Any Graduate,Pollachi,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Kolkata,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Banswara,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Basirhat,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 2 years,Any Graduate,Vadodara,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 6 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 9 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 6 years,Any Graduate,Chennai,Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 5 years,B.Tech/B.E. in Computers,Ahmedabad( Science City ),"M.Tech in Computers, MCA in Any Specialization",3-7 Lacs P.A.,Engineering - Software & QA,Software Development
5 - 7 years,Any Graduate,Chennai,,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
8 - 15 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 6 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",MCA in Computers,Not Disclosed,Engineering - Software & QA,Software Development
4 - 9 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 7 years,"Any Graduate, B.Tech/B.E. in Production/Industrial","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 6 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
6 - 11 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 4 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 6 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 9 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 9 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 6 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 9 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 10 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 6 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 6 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
7 - 10 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
10 - 20 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 3 years,B.Tech/B.E. in Any Specialization,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 12 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 7 years,"B.Sc in Any Specialization, B.A","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
4 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 4 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
9 - 13 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 5 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",CA in CA,Not Disclosed,Engineering - Software & QA,Software Development
4 - 9 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 3 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 4 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
1 - 4 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
3 - 7 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
2 - 4 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
5 - 8 years,Any Graduate,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Any Postgraduate,Not Disclosed,Engineering - Software & QA,Software Development
